BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3302	3302	3302
Contact period end (sample #):	7999	7999	7999	3365	3365	3365
Contact period start time (s):	0.000000	0.000000	0.000000	3.302000	3.302000	3.302000
Contact period end time (s):	7.999000	7.999000	7.999000	3.365000	3.365000	3.365000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:05:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	2.932833	1.340294	657.803688	0.324076	0.440330	2.418234
0.001000	2.891939	1.300406	656.550537	0.164589	0.081317	0.991093
0.002000	2.650210	0.979539	655.458710	0.324076	0.360524	1.784760
0.003000	3.335312	1.701491	660.145935	0.284278	0.280488	2.576859
0.004000	3.335312	1.741378	660.614082	0.084406	0.161123	1.150537
0.005000	2.730382	1.099643	655.928619	0.324076	0.360524	1.942145
0.006000	2.609719	1.099643	655.457909	0.364168	0.240700	2.102079
0.007000	3.294418	1.701491	661.707581	0.044315	0.200682	0.516879
0.008000	3.213841	1.580944	659.835732	0.324076	0.240700	3.211826
0.009000	2.891939	1.420953	658.115494	0.324076	0.360524	1.626135
0.010000	2.932025	1.340736	657.644768	0.324076	0.240700	2.258882
0.011000	2.932025	1.380623	658.581070	0.324076	0.360524	2.259211
0.012000	3.213841	1.741821	660.145935	0.084406	0.081317	1.152175
0.013000	3.173755	1.741821	660.772034	0.324076	0.320735	2.735392
0.014000	2.649805	1.340736	657.176712	0.164003	0.161123	0.834128
0.015000	2.730382	1.180303	657.019394	0.563746	0.440559	4.161638
0.016000	3.294418	1.902255	662.176453	0.004516	0.081088	-0.114865
0.017000	2.891939	1.580944	658.584274	0.444058	0.400541	3.843990
0.018000	2.609719	1.260520	656.396599	-0.035283	0.081088	0.200633
0.019000	2.811363	1.381066	657.800308	0.283985	0.121105	1.466783
0.020000	3.173350	1.701491	660.612488	0.284278	0.320735	2.100678
0.021000	2.932025	1.661604	659.054108	0.004516	0.121105	0.675267
0.022000	3.132860	1.782151	659.522163	0.444058	0.360753	3.212155
0.023000	2.689892	1.300849	656.863228	-0.155264	-0.038507	-1.385624
0.024000	3.012198	1.461283	659.051613	0.684020	0.520136	5.587470
0.025000	3.294418	2.022801	660.927483	-0.035283	0.041299	-0.593196
0.026000	2.932025	1.622160	658.739822	0.643636	0.520365	4.795043
0.027000	2.689892	1.341179	655.929268	0.004516	0.041070	-0.434664
0.028000	3.092774	1.622160	659.987991	0.324076	0.320735	2.258882
0.029000	3.374590	1.902697	661.083031	0.284278	0.241159	1.626135
0.030000	2.891535	1.582273	657.336189	-0.035575	0.041299	-1.068466
0.031000	3.012198	1.582715	657.020370	0.603838	0.480348	4.954487
0.032000	3.052688	1.582715	658.112846	-0.075374	-0.038507	-0.910262
0.033000	3.213436	1.782593	659.518967	0.684020	0.560154	5.745674
0.034000	3.132860	1.903140	659.053215	0.004516	0.041299	-0.593196
0.035000	3.173350	1.822923	659.364304	0.843508	0.639960	6.697055
0.036000	2.891535	1.502499	656.395004	-0.155264	-0.078295	-2.337167
0.037000	3.253927	1.903140	659.674515	0.324076	0.360524	2.733915
0.038000	3.455571	2.184563	661.239220	0.284278	0.240700	1.783849
0.039000	2.891535	1.622602	657.018600	-0.155264	-0.038507	-1.701870
0.040000	2.810554	1.623045	655.146042	0.684020	0.520365	5.429757
0.041000	3.294013	2.064016	659.515594	-0.035283	0.041299	-0.274966
0.042000	3.374590	2.144233	660.299713	0.643636	0.560383	5.587470
0.043000	2.891535	1.824252	655.771339	-0.195063	-0.118313	-2.019519
0.044000	2.891535	1.783479	655.771248	0.803416	0.560154	6.063651
0.045000	3.213436	1.824252	658.265900	-0.035575	-0.038507	-0.592048
