BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2453	2453	2453	2460	2460	2460
Contact period end (sample #):	4974	4974	4974	3686	3686	3686
Contact period start time (s):	2.453000	2.453000	2.453000	2.460000	2.460000	2.460000
Contact period end time (s):	4.974000	4.974000	4.974000	3.686000	3.686000	3.686000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:25:15
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	0.465473	0.605408	-0.345517	0.522739	0.422522	3.554679
0.001000	0.102676	0.324428	-2.844264	0.443142	0.223122	2.127446
0.002000	0.908441	1.006492	3.871072	0.522739	0.223122	3.078498
0.003000	0.666308	0.725512	1.686688	0.443142	0.382504	2.919146
0.004000	0.384896	0.605408	-1.749955	0.602922	0.263140	3.871508
0.005000	0.626221	0.846059	1.061408	0.203179	0.103069	0.225929
0.006000	0.344406	0.405087	-1.127146	0.522739	0.223122	3.395327
0.007000	0.667116	0.765399	1.061408	0.602629	0.502328	3.871837
0.008000	0.908441	1.087152	3.717131	0.363252	0.183104	2.288130
0.009000	0.424982	0.485304	-0.813660	0.562831	0.422522	3.554189
0.010000	0.222935	0.485304	-1.906295	0.562831	0.302928	3.395656
0.011000	0.787779	0.765842	2.933981	0.363252	0.223122	1.970735
0.012000	0.545645	0.725512	0.437721	0.443142	0.302928	3.079738
0.013000	0.344406	0.645738	-0.811890	0.163381	-0.016296	1.019430
0.014000	0.626221	0.765842	1.841434	0.522739	0.422522	2.604867
0.015000	0.223743	0.324428	-2.376040	0.163381	-0.016296	0.543831
0.016000	0.586135	0.725069	0.905865	0.602922	0.462540	3.712393
0.017000	0.988614	1.086709	4.341703	0.562831	0.263140	3.871508
0.018000	0.344406	0.485304	-1.593527	0.443142	0.303158	3.237942
0.019000	0.384492	0.605408	-0.658117	0.682520	0.462540	4.664264
0.020000	0.626221	0.685182	1.996092	0.363252	0.103528	1.651848
0.021000	0.505559	0.605408	-0.033714	0.722611	0.582364	4.504820
0.022000	0.747288	0.885946	0.906750	0.083491	-0.215696	-0.724540
0.023000	0.626221	0.725512	1.841434	0.722611	0.582364	4.980274
0.024000	0.102676	0.284098	-2.531584	0.163381	-0.056314	0.068469
0.025000	0.747692	0.805729	1.840549	0.682812	0.462540	3.712393
0.026000	0.908037	0.885946	3.404531	0.403343	0.223122	2.919965
0.027000	0.424982	0.645738	-0.810457	0.602922	0.343175	3.871508
0.028000	0.465473	0.565078	0.122626	0.483234	0.342946	2.919804
0.029000	0.424578	0.484861	-0.502742	0.203472	0.063740	-0.091794
0.030000	0.626221	0.805729	1.373203	0.962574	0.702188	6.249702
0.031000	1.029104	1.087152	3.718016	-0.236069	-0.295502	-1.673862
0.032000	0.424982	0.525191	-0.501857	0.762409	0.622382	5.296682
0.033000	0.102676	0.284098	-2.532469	0.203179	0.103528	0.702364
0.034000	0.666308	0.765399	2.622098	0.443142	0.263140	3.553860
0.035000	0.747288	0.846059	2.936388	0.363252	0.223122	2.127446
0.036000	0.505559	0.725512	-0.031227	0.403343	0.223352	3.077679
0.037000	0.505559	0.525191	-0.189974	0.602922	0.462540	4.505731
0.038000	0.142762	0.244211	-2.375155	0.043399	-0.135890	-1.040787
0.039000	0.707202	0.805729	1.843833	0.922482	0.741976	7.040490
0.040000	0.988614	1.046379	3.717936	0.123289	0.023492	-0.249179
0.041000	0.264234	0.484861	-1.437267	0.722611	0.622382	4.504912
0.042000	0.222935	0.444974	-2.219780	0.203179	0.023492	1.018519
0.043000	0.747288	0.845616	2.311179	0.562831	0.342946	3.237123
0.044000	0.626221	0.805729	1.217660	0.443142	0.263140	2.605778
