BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3284	3284	3284
Contact period end (sample #):	7999	7999	7999	3323	3323	3323
Contact period start time (s):	0.000000	0.000000	0.000000	3.284000	3.284000	3.284000
Contact period end time (s):	7.999000	7.999000	7.999000	3.323000	3.323000	3.323000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:13:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.000000	1.656602	1.533760	650.017792	0.094248	0.045673	1.179754
0.001000	2.301213	2.255270	655.326843	-0.066118	0.085461	-1.198110
0.002000	2.663606	2.495920	658.296234	0.173845	0.045673	1.971616
0.003000	2.018993	2.015062	653.300430	0.093955	0.205056	0.547100
0.004000	1.978908	2.015062	651.891983	0.134046	0.045673	1.179027
0.005000	2.140060	2.214939	654.857178	0.293826	0.245073	2.130478
0.006000	2.381386	2.495920	656.891724	0.254028	0.165497	2.764372
0.007000	2.260723	2.656354	655.953827	0.173845	0.245073	1.498642
0.008000	2.059079	2.335486	655.640259	0.293826	0.285091	2.447215
0.009000	1.535535	1.974731	651.109543	0.134046	0.085461	1.180665
0.010000	2.099570	2.536249	655.952148	0.173845	0.165497	0.862689
0.011000	2.381386	2.857118	658.607086	0.094248	-0.073921	0.704975
0.012000	1.696689	2.416146	653.453400	0.054156	0.205056	0.070498
0.013000	1.535939	2.295599	652.513992	0.054156	-0.033903	0.545952
0.014000	1.817755	2.456034	655.324295	0.293826	0.284862	2.762642
0.015000	2.059484	2.897004	656.419403	0.054156	0.085691	0.546771
0.016000	2.059889	3.098211	656.417801	0.293826	0.245073	2.922576
0.017000	1.817755	2.776901	655.636093	0.253735	0.285091	2.448126
0.018000	1.375594	2.456034	651.262360	0.093955	0.045673	1.021221
0.019000	1.939226	3.058324	656.259766	0.133754	0.205056	1.019912
0.020000	2.180551	3.298088	659.073547	0.174138	0.045673	1.496745
0.021000	1.576834	2.938219	653.761826	-0.026026	0.045443	-0.564216
0.022000	1.415680	2.898332	651.885971	0.054156	0.005655	0.704156
0.023000	1.858649	3.138540	655.632019	0.373716	0.444703	3.239152
0.024000	1.979716	3.459408	657.040466	0.134046	0.045673	1.021221
0.025000	1.898735	3.579955	656.416946	0.173845	0.205056	1.180665
0.026000	1.737582	3.379634	655.321014	0.253735	0.284862	1.971945
0.027000	1.335104	3.058324	652.352509	0.254028	0.165497	2.446395
0.028000	2.140465	3.820163	657.664063	0.093955	0.125479	0.863600
0.029000	2.261127	3.981039	659.852707	0.174138	0.085691	2.288353
0.030000	1.616920	3.499737	654.853683	0.054156	0.165038	0.228212
0.031000	1.495852	3.459850	653.915695	0.174138	0.125479	2.287863
0.032000	1.657006	3.499295	655.945511	0.254028	0.324879	1.812501
0.033000	1.899140	3.981039	657.664963	0.213936	0.125479	1.496093
0.034000	1.899140	4.061256	657.820572	0.213936	0.165497	1.812501
0.035000	1.616516	3.539624	655.789169	0.254028	0.165497	1.971034
0.036000	1.335104	3.459408	653.915695	0.213936	0.085691	1.180665
0.037000	2.099975	4.020926	659.539291	0.213936	0.324879	1.497004
0.038000	2.099975	4.060813	660.008240	0.134046	0.085691	1.656518
0.039000	1.535939	3.659729	655.635391	0.014358	0.085461	-0.723331
0.040000	1.415680	3.579511	654.853683	0.134046	0.005885	1.653968
0.041000	1.495852	3.539182	656.256592	0.213936	0.284862	2.130478
0.042000	1.898735	4.020926	659.541061	0.014358	0.005885	0.543801
0.043000	1.777265	4.060813	658.292175	0.054156	0.085691	0.704484
0.044000	1.373979	3.499295	655.633789	0.333918	0.404915	3.239734
0.045000	1.213228	3.419079	653.759598	0.134339	0.085920	1.180665
